iter	Passed	Remaining
300	4237	9840
301	4251	9827
302	4266	9813
303	4278	9796
304	4293	9784
305	4308	9770
306	4321	9755
307	4335	9739
308	4349	9725
309	4363	9711
310	4376	9696
311	4389	9679
312	4403	9665
313	4416	9649
314	4431	9637
315	4446	9624
316	4459	9609
317	4473	9593
318	4487	9579
319	4501	9565
320	4516	9553
321	4530	9540
322	4545	9526
323	4558	9511
324	4573	9498
325	4586	9482
326	4600	9467
327	4612	9451
328	4626	9436
329	4641	9423
330	4656	9411
331	4671	9399
332	4685	9385
333	4699	9370
334	4713	9356
335	4729	9347
336	4743	9333
337	4757	9318
338	4772	9305
339	4785	9290
340	4798	9273
341	4812	9258
342	4826	9245
343	4841	9231
344	4855	9218
345	4869	9203
346	4884	9190
347	4898	9178
348	4913	9164
349	4927	9151
350	4942	9139
351	4956	9124
352	4971	9112
353	4985	9097
354	4999	9082
355	5013	9068
356	5026	9052
357	5039	9037
358	5055	9026
359	5069	9012
360	5084	9000
361	5099	8988
362	5115	8976
363	5130	8963
364	5144	8949
365	5157	8934
366	5172	8921
367	5186	8907
368	5203	8897
369	5216	8882
370	5233	8873
371	5248	8860
372	5262	8845
373	5275	8830
374	5290	8816
375	5304	8803
376	5318	8789
377	5331	8772
378	5345	8758
379	5359	8743
380	5373	8729
381	5387	8716
382	5401	8701
383	5414	8685
384	5428	8671
385	5442	8656
386	5456	8643
387	5472	8632
388	5487	8618
389	5500	8603
390	5514	8589
391	5527	8573
392	5541	8558
393	5554	8543
394	5570	8531
395	5585	8518
396	5599	8504
397	5613	8490
398	5626	8474
399	5639	8459
400	5654	8446
401	5667	8431
402	5681	8416
403	5693	8399
404	5706	8383
405	5719	8368
406	5733	8353
407	5746	8338
408	5760	8324
409	5774	8309
410	5787	8293
411	5800	8278
412	5816	8266
413	5830	8252
414	5844	8238
415	5858	8223
416	5872	8209
417	5886	8195
418	5899	8180
419	5912	8164
420	5926	8150
421	5941	8138
422	5955	8123
423	5969	8109
424	5983	8095
425	5997	8081
426	6009	8064
427	6023	8050
428	6037	8035
429	6050	8020
430	6064	8006
431	6079	7993
432	6096	7983
433	6110	7969
434	6124	7954
435	6138	7940
436	6153	7927
437	6167	7913
438	6181	7899
439	6196	7886
440	6210	7872
441	6226	7861
442	6240	7846
443	6253	7831
444	6267	7817
445	6280	7801
446	6296	7789
447	6311	7776
448	6326	7763
449	6340	7749
450	6355	7737
451	6369	7722
452	6384	7709
453	6397	7694
454	6412	7680
455	6425	7665
456	6439	7651
457	6452	7636
458	6466	7621
459	6479	7606
460	6493	7591
461	6506	7576
462	6520	7562
463	6534	7548
464	6547	7533
465	6560	7518
466	6574	7503
467	6588	7489
468	6601	7474
469	6615	7460
470	6629	7445
471	6642	7430
472	6655	7415
473	6668	7400
474	6682	7385
475	6695	7370
476	6708	7355
477	6722	7341
478	6736	7326
479	6750	7313
480	6764	7299
481	6778	7285
482	6792	7271
483	6806	7256
484	6819	7241
485	6832	7226
486	6846	7211
487	6860	7197
488	6874	7184
489	6888	7169
490	6902	7155
491	6916	7140
492	6929	7126
493	6943	7111
494	6956	7096
495	6970	7083
496	6983	7068
497	6996	7053
498	7009	7037
499	7022	7022
500	7035	7007
501	7050	6994
502	7063	6979
503	7078	6966
504	7091	6951
505	7105	6937
506	7119	6923
507	7133	6908
508	7146	6893
509	7159	6879
510	7175	6866
511	7189	6852
512	7202	6837
513	7216	6823
514	7230	6809
515	7245	6795
516	7258	6780
517	7271	6766
518	7285	6752
519	7301	6739
520	7314	6724
521	7327	6710
522	7341	6696
523	7356	6682
524	7369	6667
525	7383	6653
526	7398	6640
527	7411	6625
528	7425	6611
529	7439	6596
530	7453	6582
531	7466	6568
532	7480	6554
533	7494	6539
534	7508	6526
535	7521	6511
536	7534	6495
537	7547	6481
538	7562	6467
539	7577	6455
540	7591	6440
541	7604	6426
542	7618	6411
543	7632	6397
544	7646	6383
545	7659	6368
546	7672	6354
547	7685	6339
548	7700	6325
549	7714	6311
550	7729	6298
551	7742	6283
552	7756	6269
553	7769	6254
554	7782	6239
555	7796	6225
556	7809	6211
557	7822	6196
558	7838	6184
559	7852	6169
560	7865	6155
561	7878	6140
562	7891	6125
563	7905	6111
564	7918	6096
565	7931	6082
566	7944	6067
567	7958	6053
568	7972	6038
569	7985	6024
570	7999	6010
571	8014	5997
572	8029	5983
573	8042	5969
574	8056	5954
575	8070	5941
576	8084	5926
577	8098	5913
578	8112	5898
579	8127	5885
580	8141	5871
581	8155	5857
582	8169	5843
583	8183	5829
584	8197	5815
585	8210	5800
586	8224	5786
587	8237	5771
588	8250	5757
589	8264	5743
590	8278	5729
591	8293	5715
592	8308	5702
593	8322	5688
594	8335	5673
595	8349	5659
596	8364	5646
597	8378	5632
598	8392	5618
599	8406	5604
600	8420	5590
601	8434	5576
602	8447	5561
603	8461	5547
604	8482	5538
605	8496	5524
606	8511	5510
607	8524	5496
608	8538	5481
609	8551	5467
610	8566	5453
611	8581	5440
612	8595	5426
613	8608	5411
614	8620	5396
615	8635	5383
616	8648	5368
617	8662	5354
618	8675	5339
619	8688	5325
620	8701	5310
621	8715	5296
622	8728	5282
623	8742	5267
624	8756	5253
625	8768	5238
626	8782	5224
627	8795	5210
628	8810	5196
629	8824	5182
630	8838	5168
631	8851	5154
632	8865	5139
633	8878	5125
634	8892	5111
635	8906	5097
636	8921	5083
637	8935	5069
638	8949	5055
639	8962	5041
640	8975	5027
641	8989	5012
642	9004	4999
643	9020	4986
644	9033	4971
645	9046	4957
646	9061	4943
647	9074	4929
648	9088	4915
649	9102	4901
650	9115	4886
651	9130	4873
652	9144	4859
653	9159	4846
654	9173	4831
655	9186	4817
656	9200	4803
657	9214	4789
658	9227	4774
659	9241	4760
660	9254	4746
661	9267	4731
662	9282	4718
663	9297	4704
664	9311	4690
665	9323	4675
666	9338	4662
667	9354	4649
668	9368	4635
669	9383	4621
670	9396	4607
671	9411	4593
672	9424	4579
673	9438	4565
674	9452	4550
675	9465	4536
676	9479	4522
677	9492	4508
678	9506	4494
679	9520	4480
680	9533	4465
681	9546	4451
682	9560	4437
683	9574	4423
684	9588	4409
685	9604	4396
686	9618	4382
687	9630	4367
688	9644	4353
689	9658	4339
690	9673	4325
691	9688	4312
692	9702	4298
693	9715	4283
694	9728	4269
695	9742	4255
696	9756	4241
697	9769	4227
698	9782	4212
699	9797	4198
700	9811	4184
701	9826	4171
702	9839	4157
703	9854	4143
704	9868	4129
705	9882	4115
706	9896	4101
707	9910	4087
708	9923	4073
709	9937	4059
710	9951	4045
711	9964	4030
712	9977	4016
713	9991	4002
714	10006	3988
715	10019	3974
716	10033	3960
717	10046	3945
718	10060	3931
719	10073	3917
720	10088	3903
721	10103	3890
722	10118	3876
723	10132	3862
724	10145	3848
725	10158	3834
726	10172	3819
727	10185	3805
728	10199	3791
729	10213	3777
730	10226	3763
731	10239	3748
732	10254	3735
733	10268	3721
734	10281	3706
735	10295	3692
736	10309	3678
737	10326	3665
738	10341	3652
739	10355	3638
740	10368	3624
741	10383	3610
742	10398	3596
743	10412	3582
744	10425	3568
745	10439	3554
746	10453	3540
747	10466	3526
748	10480	3512
749	10494	3498
750	10508	3484
751	10522	3470
752	10537	3456
753	10550	3442
754	10563	3428
755	10577	3413
756	10591	3399
757	10604	3385
758	10617	3371
759	10630	3357
760	10644	3343
761	10657	3328
762	10671	3314
763	10684	3300
764	10701	3287
765	10714	3273
766	10728	3259
767	10742	3245
768	10755	3230
769	10769	3216
770	10782	3202
771	10795	3188
772	10809	3174
773	10822	3160
774	10835	3145
775	10850	3131
776	10863	3117
777	10876	3103
778	10889	3089
779	10903	3075
780	10916	3060
781	10930	3047
782	10944	3033
783	10958	3019
784	10972	3005
785	10986	2991
786	11001	2977
787	11015	2963
788	11030	2949
789	11044	2935
790	11058	2921
791	11072	2907
792	11085	2893
793	11099	2879
794	11114	2865
795	11129	2852
796	11143	2838
797	11157	2824
798	11171	2810
799	11185	2796
800	11199	2782
801	11213	2768
802	11226	2754
803	11240	2740
804	11254	2726
805	11268	2712
806	11282	2698
807	11296	2684
808	11309	2670
809	11325	2656
810	11338	2642
811	11353	2628
812	11367	2614
813	11382	2600
814	11396	2586
815	11410	2572
816	11424	2558
817	11438	2544
818	11453	2531
819	11467	2517
820	11482	2503
821	11496	2489
822	11509	2475
823	11522	2461
824	11536	2447
825	11549	2432
826	11563	2419
827	11577	2405
828	11591	2391
829	11604	2376
830	11617	2362
831	11630	2348
832	11643	2334
833	11658	2320
834	11672	2306
835	11686	2292
836	11699	2278
837	11713	2264
838	11726	2250
839	11741	2236
840	11754	2222
841	11768	2208
842	11782	2194
843	11795	2180
844	11811	2166
845	11825	2152
846	11839	2138
847	11854	2124
848	11868	2110
849	11882	2096
850	11896	2082
851	11909	2068
852	11923	2054
853	11937	2040
854	11950	2026
855	11963	2012
856	11977	1998
857	11991	1984
858	12005	1970
859	12018	1956
860	12033	1942
861	12048	1928
862	12062	1914
863	12076	1901
864	12092	1887
865	12105	1873
866	12119	1859
867	12133	1845
868	12147	1831
869	12162	1817
870	12176	1803
871	12191	1789
872	12206	1775
873	12221	1761
874	12235	1747
875	12249	1733
876	12262	1719
877	12276	1705
878	12289	1691
879	12303	1677
880	12317	1663
881	12331	1649
882	12345	1635
883	12359	1621
884	12373	1607
885	12388	1593
886	12401	1579
887	12414	1565
888	12430	1552
889	12444	1538
890	12459	1524
891	12473	1510
892	12487	1496
893	12502	1482
894	12516	1468
895	12530	1454
896	12544	1440
897	12557	1426
898	12570	1412
899	12583	1398
900	12596	1384
901	12609	1369
902	12624	1356
903	12637	1342
904	12650	1327
905	12665	1314
906	12679	1300
907	12693	1286
908	12707	1272
909	12723	1258
910	12737	1244
911	12751	1230
912	12765	1216
913	12779	1202
914	12794	1188
915	12808	1174
916	12822	1160
917	12835	1146
918	12849	1132
919	12863	1118
920	12876	1104
921	12888	1090
922	12902	1076
923	12915	1062
924	12928	1048
925	12942	1034
926	12956	1020
927	12970	1006
928	12983	992
929	12997	978
930	13011	964
931	13027	950
932	13040	936
933	13054	922
934	13067	908
935	13081	894
936	13094	880
937	13107	866
938	13120	852
939	13133	838
940	13146	824
941	13159	810
942	13172	796
943	13186	782
944	13200	768
945	13213	754
946	13227	740
947	13240	726
948	13254	712
949	13268	698
950	13281	684
951	13294	670
952	13308	656
953	13320	642
954	13334	628
955	13347	614
956	13361	600
957	13374	586
958	13388	572
959	13404	558
960	13418	544
961	13432	530
962	13445	516
963	13458	502
964	13472	488
965	13485	474
966	13499	460
967	13512	446
968	13525	432
969	13538	418
970	13552	404
971	13566	390
972	13579	376
973	13593	362
974	13606	348
975	13619	334
976	13633	320
977	13646	306
978	13661	293
979	13674	279
980	13687	265
981	13701	251
982	13716	237
983	13729	223
984	13742	209
985	13756	195
986	13769	181
987	13783	167
988	13796	153
989	13810	139
990	13823	125
991	13837	111
992	13852	97
993	13866	83
994	13879	69
995	13892	55
996	13906	41
997	13919	27
998	13932	13
999	13946	0
